"filename", "language", "TypeScript", "TypeScript JSX", "JSON with Comments", "Markdown", "CSS", "JavaScript", "JSON", "XML", "YAML", "comment", "blank", "total"
"d:\ReactProjects\EcoFarm_FE\src\pages\test\components\BubbleChat.tsx", "TypeScript JSX", 0, 42, 0, 0, 0, 0, 0, 0, 0, 1, 9, 52
"d:\ReactProjects\EcoFarm_FE\src\pages\user\profile\addresses.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\ReactProjects\EcoFarm_FE\src\pages\user\profile\index.tsx", "TypeScript JSX", 0, 37, 0, 0, 0, 0, 0, 0, 0, 7, 5, 49
"d:\ReactProjects\EcoFarm_FE\src\pages\user\profile\orders.tsx", "TypeScript JSX", 0, 63, 0, 0, 0, 0, 0, 0, 0, 26, 4, 93
"d:\ReactProjects\EcoFarm_FE\src\pages\user\profile\your-packages.tsx", "TypeScript JSX", 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 2, 33
"d:\ReactProjects\EcoFarm_FE\src\signalRMiddleware.ts", "TypeScript", 21, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6, 30
"d:\ReactProjects\EcoFarm_FE\src\styles\globals.css", "CSS", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 2, 7
"d:\ReactProjects\EcoFarm_FE\src\utils\constants\constants.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
"d:\ReactProjects\EcoFarm_FE\src\utils\constants\enums.ts", "TypeScript", 89, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14, 104
"d:\ReactProjects\EcoFarm_FE\src\utils\constants\links.ts", "TypeScript", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 19
"d:\ReactProjects\EcoFarm_FE\src\utils\constants\selectOption.ts", "TypeScript", 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 39
"d:\ReactProjects\EcoFarm_FE\src\utils\helpers\CommonHelper.ts", "TypeScript", 16, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 21
"d:\ReactProjects\EcoFarm_FE\src\utils\helpers\DateHelper.ts", "TypeScript", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 35
"d:\ReactProjects\EcoFarm_FE\src\utils\helpers\LogHelper.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 17
"d:\ReactProjects\EcoFarm_FE\src\utils\helpers\ToastHelper.ts", "TypeScript", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 26
"d:\ReactProjects\EcoFarm_FE\tailwind.config.ts", "TypeScript", 98, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 100
"d:\ReactProjects\EcoFarm_FE\tsconfig.json", "JSON with Comments", 0, 0, 37, 0, 0, 0, 0, 0, 0, 4, 3, 44
"Total", "-", 1550, 6037, 37, 15, 5, 160, 312, 5881, 6424, 881, 1518, 22820
