"filename", "language", "TypeScript", "TypeScript JSX", "JSON with Comments", "Markdown", "CSS", "JavaScript", "JSON", "XML", "YAML", "comment", "blank", "total"
"d:\ReactProjects\EcoFarm_FE\src\pages\error\forbidden.tsx", "TypeScript JSX", 0, 19, 0, 0, 0, 0, 0, 0, 0, 1, 2, 22
"d:\ReactProjects\EcoFarm_FE\src\pages\homepage\index.tsx", "TypeScript JSX", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 6, 25
"d:\ReactProjects\EcoFarm_FE\src\pages\packages\[packageId]\index.tsx", "TypeScript JSX", 0, 357, 0, 0, 0, 0, 0, 0, 0, 39, 11, 407
"d:\ReactProjects\EcoFarm_FE\src\pages\packages\index.tsx", "TypeScript JSX", 0, 244, 0, 0, 0, 0, 0, 0, 0, 31, 10, 285
"d:\ReactProjects\EcoFarm_FE\src\pages\packages\update\[packageId].tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\ReactProjects\EcoFarm_FE\src\pages\products\[productId]\index.tsx", "TypeScript JSX", 0, 243, 0, 0, 0, 0, 0, 0, 0, 107, 9, 359
"d:\ReactProjects\EcoFarm_FE\src\pages\products\index.tsx", "TypeScript JSX", 0, 213, 0, 0, 0, 0, 0, 0, 0, 29, 7, 249
"d:\ReactProjects\EcoFarm_FE\src\pages\seller\homepage.tsx", "TypeScript JSX", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 3, 20
"d:\ReactProjects\EcoFarm_FE\src\pages\seller\orders\[orderId].tsx", "TypeScript JSX", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 3, 22
"d:\ReactProjects\EcoFarm_FE\src\pages\seller\orders\index.tsx", "TypeScript JSX", 0, 416, 0, 0, 0, 0, 0, 0, 0, 52, 18, 486
"d:\ReactProjects\EcoFarm_FE\src\pages\seller\packages\[packageId]\index.tsx", "TypeScript JSX", 0, 403, 0, 0, 0, 0, 0, 0, 0, 48, 20, 471
"d:\ReactProjects\EcoFarm_FE\src\pages\seller\packages\[packageId]\update\index.tsx", "TypeScript JSX", 0, 206, 0, 0, 0, 0, 0, 0, 0, 4, 8, 218
"d:\ReactProjects\EcoFarm_FE\src\pages\seller\packages\create\index.tsx", "TypeScript JSX", 0, 221, 0, 0, 0, 0, 0, 0, 0, 39, 5, 265
"d:\ReactProjects\EcoFarm_FE\src\pages\seller\packages\index.tsx", "TypeScript JSX", 0, 135, 0, 0, 0, 0, 0, 0, 0, 18, 9, 162
"d:\ReactProjects\EcoFarm_FE\src\pages\seller\products\[productId]\index.tsx", "TypeScript JSX", 0, 124, 0, 0, 0, 0, 0, 0, 0, 121, 7, 252
"d:\ReactProjects\EcoFarm_FE\src\pages\seller\products\create.tsx", "TypeScript JSX", 0, 191, 0, 0, 0, 0, 0, 0, 0, 7, 6, 204
"d:\ReactProjects\EcoFarm_FE\src\pages\seller\products\index.tsx", "TypeScript JSX", 0, 144, 0, 0, 0, 0, 0, 0, 0, 50, 12, 206
"d:\ReactProjects\EcoFarm_FE\src\pages\seller\stats\index.tsx", "TypeScript JSX", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 4, 23
"d:\ReactProjects\EcoFarm_FE\src\pages\test\chat\index.tsx", "TypeScript JSX", 0, 56, 0, 0, 0, 0, 0, 0, 0, 14, 2, 72
